STATE,COUNTY,STATENAME,COUNTYNAME,POP_COU,AREA_COU,POP_URBAN,POPPCT_URBAN,AREA_URBAN,AREAPCT_URBAN,POPDEN_URBAN,POP_UA,POPPCT_UA,AREA_UA,AREAPCT_UA,POPDEN_UA,POP_UC,POPPCT_UC,AREA_UC,AREAPCT_UC,POPDEN_UC,POP_RURAL,POPPCT_RURAL,AREA_RURAL,AREAPCT_RURAL,POPDEN_RURAL
53,059,Washington,Skamania,11066,4288183445,0,0,0,0,,0,0,0,0,,0,0,0,0,,11066,100,4288183445,100,6.7
53,061,Washington,Snohomish,713335,5406013264,636156,89.18,625230450,11.57,2635.2,615756,86.32,595047485,11.01,2680.1,20400,2.86,30182965,0.56,1750.5,77179,10.82,4780782814,88.43,41.8
53,063,Washington,Spokane,471221,4568198649,406797,86.33,443495285,9.71,2375.7,387847,82.31,425287244,9.31,2362,18950,4.02,18208041,0.4,2695.5,64424,13.67,4124703364,90.29,40.5
53,065,Washington,Stevens,43531,6417380728,9052,20.79,23207989,0.36,1010.2,0,0,0,0,,9052,20.79,23207989,0.36,1010.2,34479,79.21,6394172739,99.64,14
53,067,Washington,Thurston,252264,1869871525,199317,79.01,319318791,17.08,1616.7,176617,70.01,273453845,14.62,1672.8,22700,9,45864946,2.45,1281.9,52947,20.99,1550552734,82.92,88.4
53,069,Washington,Wahkiakum,3978,682138841,0,0,0,0,,0,0,0,0,,0,0,0,0,,3978,100,682138841,100,15.1
53,071,Washington,Walla Walla,58781,3289618915,48715,82.88,60534561,1.84,2084.3,48715,82.88,60534561,1.84,2084.3,0,0,0,0,,10066,17.12,3229084354,98.16,8.1
53,073,Washington,Whatcom,201140,5456733620,149098,74.13,192273940,3.52,2008.4,114473,56.91,124634344,2.28,2378.8,34625,17.21,67639596,1.24,1325.8,52042,25.87,5264459680,96.48,25.6
53,075,Washington,Whitman,44776,5592015929,32449,72.47,21087600,0.38,3985.4,0,0,0,0,,32449,72.47,21087600,0.38,3985.4,12327,27.53,5570928329,99.62,5.7
53,077,Washington,Yakima,243231,11125023321,186025,76.48,218503385,1.96,2205,129534,53.26,154959204,1.39,2165,56491,23.23,63544181,0.57,2302.5,57206,23.52,10906519936,98.04,13.6
54,001,West Virginia,Barbour,16589,883338809,2700,16.28,4354542,0.49,1605.9,0,0,0,0,,2700,16.28,4354542,0.49,1605.9,13889,83.72,878984267,99.51,40.9
54,003,West Virginia,Berkeley,104169,831754462,71225,68.37,178697460,21.48,1032.3,71225,68.37,178697460,21.48,1032.3,0,0,0,0,,32944,31.63,653057002,78.52,130.7
54,005,West Virginia,Boone,24629,1298991045,4579,18.59,10594171,0.82,1119.4,0,0,0,0,,4579,18.59,10594171,0.82,1119.4,20050,81.41,1288396874,99.18,40.3
54,007,West Virginia,Braxton,14523,1322996847,0,0,0,0,,0,0,0,0,,0,0,0,0,,14523,100,1322996847,100,28.4
54,009,West Virginia,Brooke,24069,231038789,13929,57.87,27405810,11.86,1316.4,13929,57.87,27405810,11.86,1316.4,0,0,0,0,,10140,42.13,203632979,88.14,129
